PlantID,PlantName,Accession,ClonalGroup,Replicate,AccessionID,ExperimentID,User,GrowthLocation,TrayPosition,PlantingDate,IntoChamberDate,EmergenceDate,EarEmergenceDate,variable,value,measurement_date,ploidy
28046,BdTR1j_R3S,BdTR1j,Clone1,3,656,BVZ0049,SRE,NCRIS-2,3B3,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,1.1,2015-10-12,dis
28047,BdTR3f_R3S,BdTR3f,Clone2,3,682,BVZ0049,SRE,NCRIS-2,3B4,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,1.4,2015-10-12,dis
28048,Bd21_R2S,Bd21,Bd21,2,4741,BVZ0049,SRE,NCRIS-2,3B5,2015-09-24,2015-10-02,2015-10-09,2015-11-20,Growth Stage,0,2015-10-12,dis
28049,BdTR5g_R2S,BdTR5g,Clone3,2,701,BVZ0049,SRE,NCRIS-2,3C1,2015-09-24,2015-10-02,2015-10-09,2015-11-27,Growth Stage,0,2015-10-12,dis
28050,BdTR13j_R2S,BdTR13j,Clone7,2,763,BVZ0049,SRE,NCRIS-2,3C2,2015-09-24,2015-10-02,2015-10-07,2015-11-20,Growth Stage,1.2,2015-10-12,dis
28051,BdTR2b_R2S,BdTR2b,Clone1,2,661,BVZ0049,SRE,NCRIS-2,3C3,2015-09-24,2015-10-02,2015-10-07,2015-11-20,Growth Stage,1.1,2015-10-12,dis
28052,BdTR13k_R2S,BdTR13k,Clone7,2,764,BVZ0049,SRE,NCRIS-2,3C4,2015-09-24,2015-10-02,2015-10-07,2015-11-20,Growth Stage,1.4,2015-10-12,dis
28053,BdTR3k_R3S,BdTR3k,Clone2,3,687,BVZ0049,SRE,NCRIS-2,3C5,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,1.1,2015-10-12,dis
28054,BdTR9b_R1S,BdTR9b,Clone4,1,718,BVZ0049,SRE,NCRIS-2,3D1,2015-09-24,2015-10-02,2015-10-07,2015-12-04,Growth Stage,0,2015-10-12,dis
28055,BdTR5m_R2S,BdTR5m,Clone3,2,706,BVZ0049,SRE,NCRIS-2,3D2,2015-09-24,2015-10-02,2015-10-07,2015-11-27,Growth Stage,0,2015-10-12,dis
28056,BdTR11g_R3S,BdTR11g,Clone6,3,748,BVZ0049,SRE,NCRIS-2,3D3,2015-09-24,2015-10-02,2015-10-07,2015-11-27,Growth Stage,0,2015-10-12,dis
28057,BdTR1n_R3S,BdTR1n,Clone1,3,659,BVZ0049,SRE,NCRIS-2,3D4,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,0,2015-10-12,dis
28058,BdTR9f_R2S,BdTR9f,Clone4,2,721,BVZ0049,SRE,NCRIS-2,4A1,2015-09-24,2015-10-02,2015-10-07,2015-11-27,Growth Stage,0,2015-10-12,dis
28059,BdTR13a_R1S,BdTR13a,Clone7,1,754,BVZ0049,SRE,NCRIS-2,4A2,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,1.1,2015-10-12,dis
28060,BdTR2b_R3S,BdTR2b,Clone1,3,661,BVZ0049,SRE,NCRIS-2,4A3,2015-09-24,2015-10-02,2015-10-07,2015-11-20,Growth Stage,1.1,2015-10-12,dis
28061,BdTR5n_R1S,BdTR5n,Clone3,1,707,BVZ0049,SRE,NCRIS-2,4A4,2015-09-24,2015-10-02,2015-10-09,2015-11-27,Growth Stage,0,2015-10-12,dis
28062,BdTR11i_R3S,BdTR11i,Clone6,3,750,BVZ0049,SRE,NCRIS-2,4A5,2015-09-24,2015-10-02,2015-10-09,2015-11-27,Growth Stage,0,2015-10-12,dis
28063,BdTR10b_R3S,BdTR10b,Clone5,3,729,BVZ0049,SRE,NCRIS-2,4B1,2015-09-24,2015-10-02,2015-10-09,2015-11-20,Growth Stage,1.2,2015-10-12,dis
28064,BdTR5f_R2S,BdTR5f,Clone3,2,700,BVZ0049,SRE,NCRIS-2,4B2,2015-09-24,2015-10-02,2015-10-09,2015-11-27,Growth Stage,0,2015-10-12,dis
28065,BdTR5c_R3S,BdTR5c,Clone3,3,697,BVZ0049,SRE,NCRIS-2,4B3,2015-09-24,2015-10-02,2015-10-08,2015-11-25,Growth Stage,0,2015-10-12,dis
28066,BdTR3h_R1S,BdTR3h,Clone2,1,684,BVZ0049,SRE,NCRIS-2,4B4,2015-09-24,2015-10-02,2015-10-09,2015-11-25,Growth Stage,1,2015-10-12,dis
28067,BdTR3j_R3S,BdTR3j,Clone2,3,686,BVZ0049,SRE,NCRIS-2,4B5,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,1.1,2015-10-12,dis
28068,BdTR5e_R3S,BdTR5e,Clone3,3,699,BVZ0049,SRE,NCRIS-2,4C1,2015-09-24,2015-10-02,2015-10-09,2015-12-01,Growth Stage,0,2015-10-12,dis
28069,BdTR10n_R1S,BdTR10n,Clone6,1,740,BVZ0049,SRE,NCRIS-2,4C2,2015-09-24,2015-10-02,2015-10-09,2015-11-27,Growth Stage,0,2015-10-12,dis
28070,BdTR10c_R3S,BdTR10c,Clone5,3,730,BVZ0049,SRE,NCRIS-2,4C3,2015-09-24,2015-10-02,2015-10-09,2015-11-23,Growth Stage,1,2015-10-12,dis
28071,BdTR2h_R3S,BdTR2h,Clone1,3,667,BVZ0049,SRE,NCRIS-2,4C4,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,0,2015-10-12,dis
28072,BdTR2j_R2S,BdTR2j,Clone1,2,669,BVZ0049,SRE,NCRIS-2,4C5,2015-09-24,2015-10-02,2015-10-07,2015-11-20,Growth Stage,1.1,2015-10-12,dis
28073,BdTR5j_R1S,BdTR5j,Clone3,1,704,BVZ0049,SRE,NCRIS-2,4D1,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,0,2015-10-12,dis
28074,BdTR11g_R2S,BdTR11g,Clone6,2,748,BVZ0049,SRE,NCRIS-2,4D2,2015-09-24,2015-10-02,2015-10-08,2015-12-01,Growth Stage,0,2015-10-12,dis
28075,BdTR3t_R1S,BdTR3t,Clone2,1,694,BVZ0049,SRE,NCRIS-2,4D3,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,1.1,2015-10-12,dis
28076,BdTR5f_R1S,BdTR5f,Clone3,1,700,BVZ0049,SRE,NCRIS-2,4D4,2015-09-24,2015-10-02,2015-10-09,2015-12-03,Growth Stage,0,2015-10-12,dis
28077,BdTR10e_R2S,BdTR10e,Clone5,2,732,BVZ0049,SRE,NCRIS-2,5A1,2015-09-24,2015-10-02,2015-10-08,2015-11-23,Growth Stage,1.3,2015-10-12,dis
28078,BdTR10d_R1S,BdTR10d,Clone5,1,731,BVZ0049,SRE,NCRIS-2,5A2,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,1.2,2015-10-12,dis
28079,BdTR2n_R2S,BdTR2n,Clone1,2,672,BVZ0049,SRE,NCRIS-2,5A3,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,1.1,2015-10-12,dis
28080,BdTR3g_R2S,BdTR3g,Clone2,2,683,BVZ0049,SRE,NCRIS-2,5A4,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,1,2015-10-12,dis
28081,BdTR5d_R2S,BdTR5d,Clone3,2,698,BVZ0049,SRE,NCRIS-2,5A5,2015-09-24,2015-10-02,2015-10-07,2015-12-01,Growth Stage,0,2015-10-12,dis
28082,Bd21_R12S,Bd21,Bd21,12,4741,BVZ0049,SRE,NCRIS-2,5B1,2015-09-24,2015-10-02,2015-10-08,2015-11-20,Growth Stage,0,2015-10-12,dis
28083,BdTR10o_R3S,BdTR10o,Clone5,3,741,BVZ0049,SRE,NCRIS-2,5B2,2015-09-24,2015-10-02,2015-10-07,2015-11-20,Growth Stage,1.2,2015-10-12,dis
28084,BdTR5b_R1S,BdTR5b,Clone3,1,696,BVZ0049,SRE,NCRIS-2,5B3,2015-09-24,2015-10-02,2015-10-07,2015-12-03,Growth Stage,0,2015-10-12,dis
