SampleID	PlantID	AccessionID	PlantName	Accession	ClonalGroup	Replicate	BRF_Sequencing_Batch	LIBRARY SET	prep_set	index d5	index d7	output well	SRA_run_ID
S60095	28096	733	BdTR10f_R3S	BdTR10f	Clone4	3	SN877_0438	L1	L1.2	508	712	H12	SRR5050849
S60384	28385	741	BdTR10o_R3F	BdTR10o	Clone5	3	SN877_0399	L5t	L5t.1	501	701	A1	SRR5051217
S60385	28386	696	BdTR5b_R1F	BdTR5b	Clone3	1	SN877_0399	L5t	L5t.1	502	701	B1	SRR5051204
S60386	28387	671	BdTR2m_R2F	BdTR2m	Clone1	2	SN877_0399	L5t	L5t.1	503	701	C1	SRR5051237
S60387	28388	750	BdTR11i_R2F	BdTR11i	Clone6	2	SN877_0399	L5t	L5t.1	504	701	D1	SRR5051244
S60388	28389	736	BdTR10i_R1F	BdTR10i	Clone5	1	SN877_0399	L5t	L5t.1	505	701	E1	SRR5051231
S60389	28390	548	SLK7_R2F	SLK7	HYB1	2	SN877_0399	L5t	L5t.1	506	701	F1	SRR5051250
S60390	28391	725	BdTR9j_R3F	BdTR9j	Clone4	3	SN877_0399	L5t	L5t.1	507	701	G1	SRR5051263
S60391	28392	694	BdTR3t_R2F	BdTR3t	Clone2	2	SN877_0399	L5t	L5t.1	508	701	H1	SRR5051233
S60392	28393	696	BdTR5b_R2F	BdTR5b	Clone3	2	SN877_0399	L5t	L5t.1	501	702	A2	SRR5051212
S60393	28394	397	GWW10_R3F	GWW10	HYB1	3		L5t	L5t.1	502	702	B2	
S60394	28395	747	BdTR11f_R1F	BdTR11f	Clone6	1		L5t	L5t.1	503	702	C2	
S60395	28396	693	BdTR3s_R3F	BdTR3s	Clone2	3		L5t	L5t.1	504	702	D2	
S60396	28397	734	BdTR10g_R1F	BdTR10g	Clone5	1	SN877_0399	L5t	L5t.1	505	702	E2	SRR5051275
S60397	28398	733	BdTR10f_R3F	BdTR10f	Clone4	3	SN877_0399	L5t	L5t.1	506	702	F2	SRR5051253
S60398	28399	744	BdTR11c_R2F	BdTR11c	Clone6	2	SN877_0399	L5t	L5t.1	507	702	G2	SRR5051195
S60399	28400	702	BdTR5h_R1F	BdTR5h	Clone3	1	SN877_0399	L5t	L5t.1	508	702	H2	SRR5051259
S60400	28401	669	BdTR2j_R1F	BdTR2j	Clone1	1		L5t	L5t.1	501	703	A3	
S60401	28402	728	BdTR10a_R1F	BdTR10a	Clone5	1		L5t	L5t.1	502	703	B3	
S60402	28403	663	BdTR2d_R1F	BdTR2d	Clone1	1		L5t	L5t.1	503	703	C3	
S60403	28404	700	BdTR5f_R3F	BdTR5f	Clone3	3		L5t	L5t.1	504	703	D3	
S60404	28405	647	BdTR1a_R3F	BdTR1a	Clone1	3		L5t	L5t.1	505	703	E3	
S60405	28406	764	BdTR13k_R3F	BdTR13k	Clone7	3		L5t	L5t.1	506	703	F3	
S60406	28407	699	BdTR5e_R1F	BdTR5e	Clone3	1		L5t	L5t.1	507	703	G3	
S60407	28408	745	BdTR11d_R3F	BdTR11d	Clone6	3	SN877_0399	L5t	L5t.1	508	703	H3	SRR5051271
S60408	28409	765	BdTR13m_R3F	BdTR13m	Clone7	3	SN877_0399	L5t	L5t.2	501	704	A4	SRR5051211
S60409	28410	675	BdTR2r_R1F	BdTR2r	Clone1	1	SN877_0399	L5t	L5t.2	502	704	B4	SRR5051232
S60410	28411	691	BdTR3p_R2F	BdTR3p	Clone2	2	SN877_0399	L5t	L5t.2	503	704	C4	SRR5051207
S60411	28412	678	BdTR3b_R2F	BdTR3b	Clone2	2	SN877_0399	L5t	L5t.2	504	704	D4	SRR5051218
S60412	28413	754	BdTR13a_R3F	BdTR13a	Clone7	3	SN877_0399	L5t	L5t.2	505	704	E4	SRR5051215
S60413	28414	678	BdTR3b_R3F	BdTR3b	Clone2	3	SN877_0399	L5t	L5t.2	506	704	F4	SRR5051264
S60414	28415	741	BdTR10o_R2F	BdTR10o	Clone5	2	SN877_0399	L5t	L5t.2	507	704	G4	SRR5051221
S60415	28416	682	BdTR3f_R1F	BdTR3f	Clone2	1		L5t	L5t.2	508	704	H4	
S60416	28417	703	BdTR5i_R2F	BdTR5i	Clone3	2	SN877_0399	L5t	L5t.2	501	705	A5	SRR5051258
S60417	28418	729	BdTR10b_R2F	BdTR10b	Clone5	2	SN877_0399	L5t	L5t.2	502	705	B5	SRR5051228
S60418	28419	722	BdTR9g_R1F	BdTR9g	Clone4	1	SN877_0399	L5t	L5t.2	503	705	C5	SRR5051247
S60419	28420	759	BdTR13f_R1F	BdTR13f	Clone7	1	SN877_0399	L5t	L5t.2	504	705	D5	SRR5051197
S60420	28421	680	BdTR3d_R3F	BdTR3d	Clone2	3	SN877_0399	L5t	L5t.2	505	705	E5	SRR5051262
S60421	28422	759	BdTR13f_R3F	BdTR13f	Clone7	3	SN877_0399	L5t	L5t.2	506	705	F5	SRR5051235
S60422	28423	653	BdTR1g_R1F	BdTR1g	Clone1	1	SN877_0399	L5t	L5t.2	507	705	G5	SRR5051273
S60423	28424	674	BdTR2p_R1F	BdTR2p	Clone1	1	SN877_0399	L5t	L5t.2	508	705	H5	SRR5051209
S60424	28425	670	BdTR2k_R1F	BdTR2k	Clone1	1	SN877_0399	L5t	L5t.2	501	706	A6	SRR5051196
S60425	28426	762	BdTR13i_R3F	BdTR13i	Clone7	3	SN877_0399	L5t	L5t.2	502	706	B6	SRR5051252
S60426	28427	684	BdTR3h_R2F	BdTR3h	Clone2	2	SN877_0399	L5t	L5t.2	503	706	C6	SRR5051225
S60427	28428	755	BdTR13b_R1F	BdTR13b	Clone7	1	SN877_0399	L5t	L5t.2	504	706	D6	SRR5051251
S60428	28429	704	BdTR5j_R2F	BdTR5j	Clone3	2	SN877_0399	L5t	L5t.2	505	706	E6	SRR5051243
S60429	28430	367	GUL1-2_R3F	GUL1-2	HYB1	3	SN877_0399	L5t	L5t.2	506	706	F6	SRR5051214
S60430	28431	727	BdTR9m_R3F	BdTR9m	Clone4	3	SN877_0399	L5t	L5t.2	507	706	G6	SRR5051266
S60431	28432	252	BLA1_R1F	BLA1	HYB1	1	SN877_0399	L5t	L5t.2	508	706	H6	SRR5051220
S60432	28433	748	BdTR11g_R1F	BdTR11g	Clone6	1	SN877_0399	L5t	L5t.2	501	707	A7	SRR5051222
S60433	28434	747	BdTR11f_R2F	BdTR11f	Clone6	2	SN877_0399	L5t	L5t.2	502	707	B7	SRR5051269
S60434	28435	669	BdTR2j_R3F	BdTR2j	Clone1	3	SN877_0399	L5t	L5t.2	503	707	C7	SRR5051265
S60435	28436	689	BdTR3n_R2F	BdTR3n	Clone2	2	SN877_0399	L5t	L5t.2	504	707	D7	SRR5051201
S60436	28437	367	GUL1-2_R2F	GUL1-2	HYB1	2	SN877_0399	L5t	L5t.2	505	707	E7	SRR5051219
S60437	28438	349	ELI10_R1F	ELI10	HYB1	1	SN877_0399	L5t	L5t.2	506	707	F7	SRR5051274
S60438	28439	389	GUL3-8_R3F	GUL3-8	HYB1	3	SN877_0399	L5t	L5t.2	507	707	G7	SRR5051199
S60439	28440	666	BdTR2g_R3F	BdTR2g	Clone1	3	SN877_0399	L5t	L5t.2	508	707	H7	SRR5051200
S60440	28441	726	BdTR9k_R1F	BdTR9k	Clone4	1	SN877_0399	L5t	L5t.2	501	708	A8	SRR5051229
S60441	28442	667	BdTR2h_R2F	BdTR2h	Clone1	2	SN877_0399	L5t	L5t.2	502	708	B8	SRR5051246
S60442	28443	750	BdTR11i_R1F	BdTR11i	Clone6	1	SN877_0399	L5t	L5t.2	503	708	C8	SRR5051223
S60443	28444	765	BdTR13m_R1F	BdTR13m	Clone7	1	SN877_0399	L5t	L5t.2	504	708	D8	SRR5051256
S60444	28445	671	BdTR2m_R3F	BdTR2m	Clone1	3	SN877_0399	L5t	L5t.2	505	708	E8	SRR5051206
S60445	28446	686	BdTR3j_R2F	BdTR3j	Clone2	2	SN877_0399	L5t	L5t.2	506	708	F8	SRR5051208
S60446	28447	763	BdTR13j_R1F	BdTR13j	Clone7	1	SN877_0399	L5t	L5t.2	507	708	G8	SRR5051245
S60447	28448	4741	Bd21_R13F	Bd21	Bd21	13	SN877_0399	L5t	L5t.2	508	708	H8	SRR5051238
S60448	28449	694	BdTR3t_R3F	BdTR3t	Clone2	3	SN877_0399	L5t	L5t.2	501	709	A9	SRR5051248
S60449	28450	729	BdTR10b_R1F	BdTR10b	Clone5	1	SN877_0399	L5t	L5t.2	502	709	B9	SRR5051261
S60450	28451	706	BdTR5m_R3F	BdTR5m	Clone3	3	SN877_0399	L5t	L5t.2	503	709	C9	SRR5051267
